dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
Ameriflux,Winous Point North Marsh,US-WPT,-82.9962,41.4646,NA,NA,4.003633161697658,26.101268241685293,NA,20.259881973266605,NA
Ameriflux,Wind River Crane Site,US-Wrc,-121.9519,45.8205,244.41514539776188,NA,357.7268679616111,194.78326416015625,NA,320.59512329101557,819.68206787109375
Ameriflux,"Kress, TX no-till cotton and grain sorghum production",US-WT1,-101.8154,34.3674,0.001656896067071915,0,1.6725040284183748,8.752178192138672,NA,0,9.462017059326172
Ameriflux,Willamette Wheat,US-Wwt,-122.6664,45.1089,16.53031621028479,NA,38.24751765108327,69.7401351928711,NA,45.12048435761998,47.211685621970865
Ameriflux,NEON Abby Road (ABBY),US-xAB,-122.3303,45.7624,284.27944667281554,NA,178.51991670961436,47.371910095214844,NA,214.56179809570318,572.98883056640625
Ameriflux,NEON Klemme Range Research Station (OAES),US-xAE,-99.0588,35.4106,NA,NA,2.2666056030004835,9.835050582885742,NA,2.5456032752990723,NA
Ameriflux,NEON Blandy Experimental Farm (BLAN),US-xBL,-78.0716,39.0603,NA,NA,67.63818588698891,107.01557922363281,NA,48.37750244140626,NA
Ameriflux,NEON Bartlett Experimental Forest (BART),US-xBR,-71.2873,44.0639,NA,NA,183.7888584107669,97.69615173339844,NA,151.97697448730477,NA
Ameriflux,NEON LBJ National Grassland (CLBJ),US-xCL,-97.57,33.4012,NA,NA,17.862425657238475,11.764260292053223,NA,3.689551591873167,NA
Ameriflux,NEON Central Plains Experimental Range (CPER),US-xCP,-104.7456,40.8155,NA,0,1.2685183026101785,9.621663533083264,NA,0,0
Ameriflux,NEON Dakota Coteau Field School (DCFS),US-xDC,-99.1066,47.1617,NA,NA,2.2469975316514703,9.725722312927246,NA,0,NA
Ameriflux,NEON Dead Lake (DELA),US-xDL,-87.8039,32.5417,NA,NA,149.97748967335852,60.034114837646484,NA,95.63168387480182,NA
Ameriflux,NEON Disney Wilderness Preserve (DSNY),US-xDS,-81.4362,28.125,NA,NA,35.58435301562497,16.484647750854492,NA,34.689674377441385,NA
Ameriflux,"NEON Great Smoky Mountains National Park, Twin Creeks (GRSM)",US-xGR,-83.5019,35.689,NA,NA,221.8802160491157,90.54581210088823,NA,193.2015686035156,NA
Ameriflux,NEON Harvard Forest (HARV),US-xHA,-72.1727,42.5369,NA,NA,164.07909697671113,37.92121124267578,NA,114.92280578613281,NA
Ameriflux,NEON Jones Ecological Research Center (JERC),US-xJE,-84.4686,31.1948,NA,NA,76.9485383170915,31.63711929321289,NA,42.62213317015634,NA
Ameriflux,NEON Jornada LTER (JORN),US-xJR,-106.8425,32.5907,0,0,1.4720287043572724,8.355450630187988,NA,0.6454256772994994,1.755971074104309
Ameriflux,NEON Konza Prairie Biological Station - Relocatable (KONA),US-xKA,-96.6129,39.1104,NA,NA,24.893037894123413,10.838811874389648,NA,12.33336830139161,NA
Ameriflux,NEON Konza Prairie Biological Station (KONZ),US-xKZ,-96.5631,39.1008,NA,NA,7.762805323532616,10.838811874389648,NA,10.13510704040527,NA
Ameriflux,NEON Lenoir Landing (LENO),US-xLE,-88.1612,31.8539,NA,NA,132.71621295270896,82.32047271728516,NA,94.13296508789064,NA
Ameriflux,NEON Moab (MOAB),US-xMB,-109.3883,38.2483,0,0.013927065442409549,3.8816884556682836,9.785598164828022,0.5804238376110887,8.94261347216437,9.837015151977539
Ameriflux,NEON Mountain Lake Biological Station (MLBS),US-xML,-80.5248,37.3783,NA,NA,176.67941973124664,154.71128845214844,NA,108.7692565917969,NA
Ameriflux,NEON Northern Great Plains Research Laboratory (NOGP),US-xNG,-100.9154,46.7697,NA,NA,3.516709164911773,11.011151313781737,NA,7.157633781433103,4.727197170257568
Ameriflux,NEON Onaqui-Ault (ONAQ),US-xNQ,-112.4524,40.1776,0,0,1.5978801946120427,9.84560489654541,NA,7.7843942642211905,8.735177040100098
Ameriflux,NEON Niwot Ridge Mountain Research Station (NIWO),US-xNW,-105.5824,40.0543,NA,7.241565985190865,18.870136421500952,76.3296890258789,NA,76.99402618408199,108.78213500976562
Ameriflux,"NEON Rocky Mountain National Park, CASTNET (RMNP)",US-xRM,-105.5459,40.2759,NA,49.57158501880458,48.83179183331265,90.80390167236328,NA,72.52030225444345,118.82136535644531
Ameriflux,NEON Oak Ridge National Lab (ORNL),US-xRN,-84.2826,35.9641,NA,NA,162.62191370356123,91.84534454345703,NA,115.72899418630983,NA
Ameriflux,NEON Ordway-Swisher Biological Station (OSBS),US-xSB,-81.9934,29.6893,NA,NA,63.37950860025341,69.88598122965993,NA,42.73400115966797,NA
Ameriflux,NEON Smithsonian Conservation Biology Institute (SCBI),US-xSC,-78.1395,38.8929,NA,NA,334.2797546386719,115.21283721923828,NA,106.78276824951165,NA
Ameriflux,NEON Smithsonian Environmental Research Center (SERC),US-xSE,-76.56,38.8901,NA,NA,229.08243406235275,79.2204360961914,NA,48.51678466796876,NA
Ameriflux,NEON San Joaquin Experimental Range (SJER),US-xSJ,-119.7323,37.1088,1.621093975910643,12.907310043825541,28.448575254408723,27.249465942382812,28.98783343428502,6.7197027308300195,66.30735231046533
Ameriflux,"NEON North Sterling, CO (STER)",US-xSL,-103.0293,40.4619,NA,0.01892950484198617,1.3255440644445562,9.97773551940918,NA,0,0.20274819433689117
Ameriflux,NEON Soaproot Saddle (SOAP),US-xSP,-119.26220000000001,37.0334,174.7629991486726,184.8821314552852,58.76458011515665,39.378570556640625,171.03361930834936,178.01660156249997,301.6092834472656
Ameriflux,NEON Santa Rita Experimental Range (SRER),US-xSR,-110.8355,31.9107,0,0,1.5752989192121227,11.92995548248291,0.17856793262003529,1.5605182647705076,12.60093879699707
Ameriflux,NEON Steigerwaldt Land Services (STEI),US-xST,-89.5864,45.5089,NA,NA,105.85784755843497,128.05265243125086,NA,44.224956512451165,NA
Ameriflux,NEON Talladega National Forest (TALL),US-xTA,-87.3933,32.9505,NA,NA,228.89019716168926,85.784576416015625,NA,125.90326690673821,NA
Ameriflux,NEON Lower Teakettle (TEAK),US-xTE,-119.006,37.0058,141.22512273063342,226.94320729360845,113.9432640687767,40.415094092375234,248.34894783945222,176.30723571777338,176.82067625806994
Ameriflux,NEON Treehaven (TREE),US-xTR,-89.5857,45.4937,NA,NA,111.14086077682579,51.77639851138626,NA,44.22495651245117,NA
Ameriflux,NEON The University of Kansas Field Station (UKFS),US-xUK,-95.1921,39.0404,NA,NA,88.23101688433853,27.528268814086914,NA,29.08854714415975,NA
Ameriflux,NEON University of Notre Dame Environmental Research Center (UNDE),US-xUN,-89.5373,46.2339,NA,NA,155.03529197481123,139.33177185058594,NA,91.69925689697266,NA
Ameriflux,NEON Woodworth (WOOD),US-xWD,-99.2414,47.1282,NA,NA,4.150212799790028,9.71989962380559,NA,0,NA
Ameriflux,NEON Wind River Experimental Forest (WREF),US-xWR,-121.9519,45.8205,244.41514539776188,NA,357.7268679616111,194.78326416015625,NA,320.59512329101557,819.68206787109375
Ameriflux,NEON Yellowstone Northern Range (Frog Rock) (YELL),US-xYE,-110.5391,44.9535,7.986143272364048,NA,36.68763026269316,59.85466003417969,NA,36.56377029418947,79.86768341064453
Ameriflux,Yellow Cab urban,US-Ylw,-95.3536,29.7894,NA,NA,7.107323688807958,20.67003631591797,NA,8.727328300476072,NA
